Site Name,Address,"Category
BCR=Bar, Club, or Restraurant
R=Residence
PV=Performance Avenue
CEI=Cultural or Educational Institutions
OCS=Organization or Community Spaces
        PS=Public Spaces       
SB=Store or Business ","Status
(Y=Existent; N=Non-Existent)","Cultural
Specifier
 Needed
(Y=yes; N=no)",Source Index
James Beard Residence,167 WEST 12TH STREET,R,Y,G,1
Craig Rodwell Residence,350 BLEECKER STREET,R,Y,G,1
Arnie Kantrowitz Residence,350 BLEECKER STREET,R,Y,G,1
H.M. Koutoukas Residence,87 CHRISTOPHER STREET,R,Y,G,1
Hart Crane Residence,45 GROVE STREET,R,Y,G,1
Patricia Highsmith Residence,48 GROVE STREET,R,Y,G,1
Anna Rochester & Grace Hutchins Residence,85 BEDFORD STREET,R,Y,G,1
Berenice Abbott & Elizabeth McCausland Residence,50 COMMERCE STREET,R,Y,G,1
Edna St. Vincent Millay Residence,75 BEDFORD STREET,R,Y,G,1
Arthur Laurents & Tom Hatcher Residence,9 ST. LUKE'S PLACE,R,Y,G,1
Paul Taylor Residence,27 VANDAM STREET,R,Y,G,1
Tharon Musser Residence,21 CORNELIA STREET,R,Y,G,1
Mills House No.1,160 BLEECKER STREET,R,Y,G,1
Djuna Barnes Residence,5 PATCHIN PLACE,R,Y,G,1
Murray Hall Residence,457 SIXTH AVENUE,R,Y,G,1
Lorraine Hansberry Residence,112 WAVERLY PLACE,R,Y,G,1
Eleanor Roosevelt Residence,29 WASHINGTON SQUARE WEST,R,Y,G,1
Maurice Sendak Residence,29 WEST 9TH STREET,R,Y,G,1
Luigi Lucioni Residence,33 WEST 10TH STREET,R,Y,G,1
Phyllis Saperstein Residence,25 WEST 10TH STREET,R,Y,G,1
Larry Kramer Residence,2 FIFTH AVENUE,R,Y,G,1
Sam Wagstaff Residence,1 FIFTH AVENUE,R,Y,G,1
Sam Morford Residence,16 EAST 8TH STREET,R,Y,G,1
"Vernon ""Copy"" Berg Residence",39 FIFTH AVENUE,R,Y,G,1
Mary E. Dreier & Frances A. Kellor Residence,43 FIFTH AVENUE,R,Y,G,1
David Mancuso Residence,645-647 BROADWAY,R,Y,G,1
186 Spring Street Residence,186 SPRING STREET,R,Y,Y,2
Allen Ginsberg Residence,437 EAST 12TH STREET,R,Y,N,2
Ana Maria Simo Residence,52 EAST 1ST STREET,R,Y,N,2
David Rothenberg Residence,175 W 13TH STREET,R,Y,G,2
Edie S. Windsor and Thea Clara Spyer Residence,2 FIFTH AVENUE,R,Y,N,2
Ernestine Eckstein Residence,437-439 EAST 12TH STREET,R,Y,YG,2
Esther Lape-Elizabeth Read Residence,20 EAST 11TH STREET,R,Y,G,2
